Adit Balmun, DKI Jakarta
Ling Chou Yi, Kepulauan Riau
Layla Nugroho, Banten
Pharsa Al Katiri, Maluku
Joy Minsiter, DKI Jakarta
Julian Dgashandy, Riau
Thomas Hanzo, Jawa Tengah
Sultan Al Faramis, Aceh
Melissa Moeremans, Papua
Freddrin S, Jawa Tengah
Franc Olsen Hook, Denmark
Hera Valentina, 
Edith Brook, Scotland
Fanny Sutejo, DI Yogyakarta
Alice Pam, 
Karin A, Jawa Barat
Lesley Kejora, 
Angela Susanti, Sumatera Barat
Natan Farel, 
Granger Nate,
Kimmy B Johnson, USA
Xavier Estesban, Colombia
Arlott Poernomo, Jawa Timur
Super Gloo, Mars
Natalia Meunier, Belgium
Hababi Sanjou,
Sober Rom, 
Badang Pernandes, Binjai
Khufra Ramses, Mesir
Rizky Kagurah, Apartemen Taman Melati
